Symbol,Company Name,Industry,Index,Sector
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
MANINFRA.NS,Man Infraconstruction Ltd.,Construction,['NIFTYTOTALMARKET'],[]
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_HEALTHCARE', 'NIFTY_PHARMA']"
MANORAMA.NS,Manorama Industries Ltd.,Fast Moving Consumer Goods,['NIFTYTOTALMARKET'],[]
MANYAVAR.NS,Vedant Fashions Ltd.,Consumer Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_FMCG']
MARKSANS.NS,Marksans Pharma Ltd.,Healthcare,['NIFTYTOTALMARKET'],[]
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_AUTO']
MASTEK.NS,Mastek Ltd.,Information Technology,['NIFTYTOTALMARKET'],[]
MAXESTATES.NS,Max Estates Ltd.,Realty,['NIFTYTOTALMARKET'],[]
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_HEALTHCARE']
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
MEDANTA.NS,Global Health Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
MEDPLUS.NS,Medplus Health Services Ltd.,Consumer Services,['NIFTYTOTALMARKET'],[]
METROPOLIS.NS,Metropolis Healthcare Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MFSL.NS,Max Financial Services Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",['NIFTY_OILANDGAS']
MIDHANI.NS,Mishra Dhatu Nigam Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MMTC.NS,MMTC Ltd.,Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MOIL.NS,MOIL Ltd.,Metals & Mining,['NIFTYTOTALMARKET'],[]
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",['NIFTY_AUTO']
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
MPHASIS.NS,MphasiS Ltd.,Information Technology,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_IT']
MRF.NS,MRF Ltd.,Automobile and Auto Components,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
MSTCLTD.NS,MSTC Ltd.,Services,['NIFTYTOTALMARKET'],[]
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MTARTECH.NS,MTAR Technologies Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_FINANCIAL_SERVICES', 'NIFTY_FINANCIAL_SERVICES25-50LIST']"
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_METAL']
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
NAVA.NS,Nava Ltd.,Power,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
